node_id,true_label,pred_label,confidence,neighbor_class_hist,top_incoming_attention_edges
1834,1,2,0.4841620922088623,"{""1"": 2, ""2"": 4}","[{""src_node"": 1833, ""src_label"": 2, ""attention"": 0.17738202214241028}, {""src_node"": 800, ""src_label"": 2, ""attention"": 0.17126116156578064}, {""src_node"": 449, ""src_label"": 2, ""attention"": 0.16588690876960754}, {""src_node"": 2359, ""src_label"": 2, ""attention"": 0.1652188003063202}, {""src_node"": 1834, ""src_label"": 1, ""attention"": 0.16389024257659912}]"
1840,5,0,0.4667258560657501,"{""0"": 1, ""2"": 1, ""5"": 2}","[{""src_node"": 2071, ""src_label"": 2, ""attention"": 0.2737836539745331}, {""src_node"": 1840, ""src_label"": 5, ""attention"": 0.24321898818016052}, {""src_node"": 1377, ""src_label"": 5, ""attention"": 0.24252894520759583}, {""src_node"": 1013, ""src_label"": 0, ""attention"": 0.24046844244003296}]"
1844,3,0,0.42064961791038513,"{""0"": 1, ""3"": 3}","[{""src_node"": 1844, ""src_label"": 3, ""attention"": 0.2540149390697479}, {""src_node"": 868, ""src_label"": 3, ""attention"": 0.25000375509262085}, {""src_node"": 1013, ""src_label"": 0, ""attention"": 0.2481987625360489}, {""src_node"": 2276, ""src_label"": 3, ""attention"": 0.24778255820274353}]"
1845,5,0,0.3850412964820862,"{""0"": 1, ""3"": 1, ""5"": 1}","[{""src_node"": 1013, ""src_label"": 0, ""attention"": 0.3367544114589691}, {""src_node"": 1845, ""src_label"": 5, ""attention"": 0.33355799317359924}, {""src_node"": 894, ""src_label"": 3, ""attention"": 0.32968759536743164}]"
1851,6,0,0.34411945939064026,"{""0"": 3, ""5"": 2, ""6"": 2}","[{""src_node"": 118, ""src_label"": 6, ""attention"": 0.14736512303352356}, {""src_node"": 1224, ""src_label"": 0, ""attention"": 0.1448785960674286}, {""src_node"": 693, ""src_label"": 0, ""attention"": 0.1445646733045578}, {""src_node"": 1013, ""src_label"": 0, ""attention"": 0.1417716145515442}, {""src_node"": 1851, ""src_label"": 6, ""attention"": 0.14145123958587646}]"
1854,1,3,0.7551072835922241,"{""1"": 1, ""3"": 1}","[{""src_node"": 1854, ""src_label"": 1, ""attention"": 0.5046675205230713}, {""src_node"": 1701, ""src_label"": 3, ""attention"": 0.4953324794769287}]"
1892,0,4,0.6385759711265564,"{""0"": 3, ""4"": 1}","[{""src_node"": 1580, ""src_label"": 0, ""attention"": 0.2581600546836853}, {""src_node"": 1892, ""src_label"": 0, ""attention"": 0.2492235004901886}, {""src_node"": 1889, ""src_label"": 4, ""attention"": 0.24665285646915436}, {""src_node"": 1669, ""src_label"": 0, ""attention"": 0.24596357345581055}]"
1893,3,4,0.5708822011947632,"{""3"": 2, ""4"": 1}","[{""src_node"": 1893, ""src_label"": 3, ""attention"": 0.3443983197212219}, {""src_node"": 1889, ""src_label"": 4, ""attention"": 0.3329674005508423}, {""src_node"": 920, ""src_label"": 3, ""attention"": 0.32263433933258057}]"
1905,0,6,0.45871028304100037,"{""0"": 1, ""4"": 1, ""6"": 1}","[{""src_node"": 1914, ""src_label"": 6, ""attention"": 0.35998445749282837}, {""src_node"": 1905, ""src_label"": 0, ""attention"": 0.32239145040512085}, {""src_node"": 210, ""src_label"": 4, ""attention"": 0.3176240622997284}]"
1907,4,3,0.37037813663482666,"{""0"": 3, ""3"": 3, ""4"": 3}","[{""src_node"": 897, ""src_label"": 0, ""attention"": 0.11589644849300385}, {""src_node"": 1906, ""src_label"": 4, ""attention"": 0.1131342202425003}, {""src_node"": 674, ""src_label"": 3, ""attention"": 0.11206401139497757}, {""src_node"": 1907, ""src_label"": 4, ""attention"": 0.11077950149774551}, {""src_node"": 566, ""src_label"": 3, ""attention"": 0.11043154448270798}]"
1908,4,0,0.4791436195373535,"{""0"": 3, ""4"": 4, ""5"": 1}","[{""src_node"": 211, ""src_label"": 0, ""attention"": 0.13163498044013977}, {""src_node"": 1908, ""src_label"": 4, ""attention"": 0.12650839984416962}, {""src_node"": 1474, ""src_label"": 4, ""attention"": 0.12647441029548645}, {""src_node"": 1178, ""src_label"": 4, ""attention"": 0.12444889545440674}, {""src_node"": 1529, ""src_label"": 4, ""attention"": 0.12392562627792358}]"
1909,0,3,0.28799229860305786,"{""0"": 4, ""3"": 3}","[{""src_node"": 211, ""src_label"": 0, ""attention"": 0.1524011641740799}, {""src_node"": 2305, ""src_label"": 3, ""attention"": 0.1452893316745758}, {""src_node"": 1909, ""src_label"": 0, ""attention"": 0.1438763290643692}, {""src_node"": 1848, ""src_label"": 0, ""attention"": 0.14181262254714966}, {""src_node"": 1171, ""src_label"": 3, ""attention"": 0.14042016863822937}]"
1910,0,1,0.4791605472564697,"{""0"": 2, ""1"": 1}","[{""src_node"": 121, ""src_label"": 1, ""attention"": 0.36854010820388794}, {""src_node"": 1910, ""src_label"": 0, ""attention"": 0.3206110894680023}, {""src_node"": 1296, ""src_label"": 0, ""attention"": 0.31084877252578735}]"
